date,ccode,cn,country,pct_cab,source,quarter,year,month,idc,ldc,emg,eap,eca,mena,sa,we,na,ssa,lac,oil,emg2,fc,ez,euro_start
1/1/1960,USA,111,United States,0.2579941,1,1960q1,1960,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1960,USA,111,United States,0.391809,1,1960q2,1960,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1960,USA,111,United States,0.6128987,1,1960q3,1960,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1960,USA,111,United States,0.8204414,1,1960q4,1960,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1961,USA,111,United States,0.9093277,1,1961q1,1961,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1961,USA,111,United States,0.6523324,1,1961q2,1961,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1961,USA,111,United States,0.594718,1,1961q3,1961,18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1961,USA,111,United States,0.5738772,1,1961q4,1961,21,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1962,USA,111,United States,0.4350073,1,1962q1,1962,24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1962,USA,111,United States,0.696242,1,1962q2,1962,27,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1962,USA,111,United States,0.6311707,1,1962q3,1962,30,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1962,USA,111,United States,0.4782126,1,1962q4,1962,33,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1963,USA,111,United States,0.5424082,1,1963q1,1963,36,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4/1/1963,USA,111,United States,0.7615696,1,1963q2,1963,39,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7/1/1963,USA,111,United States,0.6337246,1,1963q3,1963,42,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10/1/1963,USA,111,United States,0.8257664,1,1963q4,1963,45,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1/1/1964,USA,111,United States,1.140602,1,1964q1,1964,48,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
